"","X","Y","ANNO","Spawners","Recruits","salinity.minq3p","salinity.minq4p","salinity.minq1","salinity.minq2","salinity.minq3","salinity.maxq3p","salinity.maxq4p","salinity.maxq1","salinity.maxq2","salinity.maxq3","bat","dist","slope","temp.minq3p","temp.minq4p","temp.minq1","temp.minq2","temp.minq3","temp.maxq3p","temp.maxq4p","temp.maxq1","temp.maxq2","temp.maxq3","tot"
"63",742.8182527,4633.935068,2002,28.16250894,28.16250894,38.28888702,38.23226166,38.23298645,38.30274963,37.90549469,38.41709137,38.36334229,38.27238083,38.38129425,38.45366669,-135,21,13,22.49987221,17.75016785,13.72192478,15.00658131,24.63226509,25.87999725,19.62572861,14.4170208,23.6239109,24.67338371,56.32501788
"64",740.5368804,4627.354658,2002,0,0,38.28631592,38.23064423,38.23168182,38.30187988,37.9087944,38.41529846,38.36261749,38.27089691,38.38191223,38.45541382,-520,28,35,22.86668777,18.01716614,13.81585407,15.10204506,24.26643372,25.89367867,19.24740601,14.44581795,23.73722458,24.75,0
"65",738.6342175,4624.011637,2002,0,0,38.28413391,38.22944641,38.23072815,38.30122375,37.91130447,38.41377258,38.3620224,38.26974487,38.38227081,38.45671463,-701,32,11,22.87999153,17.70626831,13.9075222,15.00020409,24.13345146,26.00000572,19.25349236,14.4561758,23.7580719,24.75000191,0
"66",734.40213,4630.674544,2002,0,0,38.28411102,38.23059082,38.23168182,38.30164337,37.9046669,38.41358185,38.36096954,38.27024078,38.37968445,38.45283127,-438,27,46,22.6337719,18.14001465,13.88768578,15.24439049,23.98563576,25.9952507,19.13633347,14.42949295,23.62830544,24.74528885,0
"67",724.9267081,4650.15431,2002,0,274.1557584,38.28567505,38.23389435,38.23448944,38.30285645,37.88760376,38.41413116,38.35952759,38.2721405,38.372612,38.44225311,-118,15,1,22.62999916,18.13299751,13.93881416,15.24680042,24.60131073,25.89238548,19.38199234,14.38379478,23.50396729,24.99650002,274.1557584
"68",728.0606161,4637.527283,2002,238.476346,0,38.28366089,38.23154449,38.23252487,38.30191803,37.89775848,38.41305542,38.35979843,38.27056122,38.37665558,38.44858551,-323,22,33,22.497612,17.90476418,13.93595123,15.01572895,24.24166107,25.9905262,19.25000763,14.4792614,23.49996758,24.73552704,238.476346
"69",707.1536591,4622.41943,2002,0,0,38.27068329,38.22624207,38.22888184,38.29907608,37.90516281,38.40382385,38.35494232,38.2649765,38.37473297,38.45088959,-530,51,71,22.50015068,18.13002396,13.69225216,15.00574684,23.13382339,25.99102402,18.48332977,14.46269131,23.11221123,24.50000191,0
"70",826.0552291,4555.635163,2002,207.6756936,0,38.29972839,38.22855377,38.23288727,38.30129242,38.01272964,38.42727661,38.39588928,38.27461243,38.40034866,38.4905777,-374,17,33,23.38492393,18.00255966,14.31921387,15.62647343,25.14062881,26.12408066,19.37213516,14.80078697,24.14385796,25.88912964,207.6756936
"71",707.6520335,4650.961348,2002,197.8021978,0,38.27906799,38.23194885,38.23318481,38.30121613,37.88154984,38.40895081,38.35593796,38.26947021,38.36698151,38.4369278,-381,32,28,22.75004578,17.12993431,14.00966454,15.1168232,24.24778175,25.87530327,18.74272347,14.39157391,23.49589348,24.87935066,197.8021978
"72",689.0347907,4661.663756,2002,117.9895756,0,38.27565765,38.23199463,38.2335968,38.30029297,37.86765289,38.40556335,38.35382843,38.26842499,38.35762787,38.42581177,-331,27,21,22.6244812,16.98226357,13.88160896,14.99999905,23.79917908,25.87999916,18.63282776,14.28428078,23.24700356,24.64518356,117.9895756
"73",689.2238322,4668.813888,2002,40.75810067,163.0324027,38.27719879,38.23329163,38.23456573,38.30052948,37.86138153,38.40632629,38.35406494,38.26926422,38.35530853,38.42192841,-155,23,9,22.75013542,17.49998283,13.9760704,15.12995243,23.8835659,25.87162972,18.74999809,14.33237553,23.37632561,24.87593269,203.7905034
"74",687.5501003,4671.735954,2002,20.94328558,83.77314233,38.27747345,38.23370361,38.23487854,38.29999542,37.85855484,38.40633392,38.35404968,38.26946259,38.35400391,38.42002106,-127,20,1,22.53183556,17.64192963,14.0030632,15.02718544,23.87308884,25.76674843,18.75004387,14.35480309,23.37999535,24.88000107,104.7164279
"75",690.2259926,4682.808804,2002,123.3745404,226.1866575,38.28017426,38.23569489,38.23638916,38.29907227,37.85092545,38.40784454,38.35466766,38.27088928,38.35165405,38.41556931,-104,16,3,22.50006866,17.99999809,13.8235836,15.12322617,24.25078392,25.62999916,19.13000298,14.34013748,23.50001717,24.89292526,349.5611979
